timestamp,price_usd,market_cap,volume_24h
2025-09-23 01:00:00,0.005679796382363804,2000272755.2467167,717556586.904182
2025-09-24 01:00:00,0.005838761517474199,2074845774.7709846,602150010.8827455
2025-09-25 01:00:00,0.005636337619994654,1995260975.881052,525494447.58132297
2025-09-26 01:00:00,0.00502465207343172,1778921231.436653,742012729.3058335
2025-09-27 01:00:00,0.005250602226836143,1857549408.7258623,1101140786.596877
2025-09-28 01:00:00,0.005178172804724691,1833216068.9808953,277940250.6725213
2025-09-29 01:00:00,0.005966188453551393,2119953997.3054602,544321938.6910337
2025-09-30 01:00:00,0.005749194559413821,2044990457.0172193,495573041.6927041
2025-10-01 01:00:00,0.005952633256392501,2106048181.5716016,621247565.289358
2025-10-02 01:00:00,0.007057289108717753,2497809802.7422547,902533937.6322302
2025-10-03 01:00:00,0.007038451387018281,2491625647.787456,728171780.4138706
2025-10-04 01:00:00,0.006872283122951796,2434881590.5126534,649656066.0163951
2025-10-05 01:00:00,0.006687826827329358,2367588081.377944,388787340.3865561
2025-10-06 01:00:00,0.0064234621733610334,2274241855.335826,448842279.0406382
2025-10-07 01:00:00,0.00620980701781769,2197067454.5025234,462418984.6438477
2025-10-08 01:00:00,0.006440794610940245,2283039722.731485,517493262.11550605
2025-10-09 01:00:00,0.0061634338057701375,2181904051.9750524,438353335.00016093
2025-10-10 01:00:00,0.0055443915488166745,1959403501.9740827,389052154.0967959
2025-10-11 01:00:00,0.0040515146625077665,1475544317.3668065,797918381.5584891
2025-10-12 01:00:00,0.0037700456411801126,1339713543.7238722,479063168.07671785
2025-10-13 01:00:00,0.004332836725087362,1534077652.8405173,456816861.907051
2025-10-14 01:00:00,0.004320662776299782,1528837561.547327,380616391.5599405
2025-10-15 01:00:00,0.004109305915085536,1455171714.2000935,382342431.84949046
2025-10-16 01:00:00,0.003822171537273794,1351878693.9250793,247808060.76793686
2025-10-17 01:00:00,0.0034581522137623684,1223778696.51476,264429397.08552825
2025-10-18 01:00:00,0.0035176438452485573,1245377141.7375498,293091190.00553447
2025-10-19 01:00:00,0.003957914605553221,1398898611.3894687,256491590.48617202
2025-10-20 01:00:00,0.003904518320434341,1380561497.3535695,266840529.91222328
2025-10-21 01:00:00,0.0038553704421398285,1364903204.939236,282896321.647337
2025-10-22 01:00:00,0.003683778380156671,1303938569.5864844,288994866.4802177
2025-10-23 01:00:00,0.0034760136200645392,1231233822.2837095,259090674.0446605
2025-10-24 01:00:00,0.0038120957831193195,1349742900.2503004,245197735.26286012
2025-10-25 01:00:00,0.004160655701949737,1470468959.8059087,274113548.9679542
2025-10-26 01:00:00,0.004146795215665869,1469532212.7820606,120984524.99405168
2025-10-27 01:00:00,0.004741015885906756,1681453781.6108372,359517986.503675
2025-10-28 01:00:00,0.004782633285758493,1691858309.3182623,392318699.50245064
2025-10-29 01:00:00,0.0046296114124072816,1638865252.7265506,418003213.65164155
2025-10-30 01:00:00,0.005247906559912385,1859008176.2360582,489135252.9930801
2025-10-31 01:00:00,0.004414406519353759,1560451025.2166698,534684284.21587497
2025-11-01 01:00:00,0.004633510926763746,1641655985.3993359,395141021.0757373
2025-11-02 01:00:00,0.0046527864960100845,1647395563.035198,250225171.6301696
2025-11-03 01:00:00,0.004357489047100285,1539535430.3963208,262100122.56010705
2025-11-04 01:00:00,0.0038704101883021745,1364796148.4000583,356997072.9254955
2025-11-05 01:00:00,0.0037647228865507762,1332626951.7062383,378559250.74309874
2025-11-06 01:00:00,0.004154809781051992,1470441444.649767,322429514.04988796
2025-11-07 01:00:00,0.003696398898201064,1307338504.0128605,220314657.16106567
2025-11-08 01:00:00,0.004175073317809356,1477475543.2182486,332120627.4981045
2025-11-09 01:00:00,0.003788183189300182,1342571470.4813304,213242435.7086005
2025-11-10 01:00:00,0.004113793692794116,1455699972.6323779,239613574.56803706
2025-11-11 01:00:00,0.00450024511499785,1596852911.763125,416116807.1515474
2025-11-12 01:00:00,0.00410443223034084,2427943185.922286,407808918.92125154
2025-11-13 01:00:00,0.0039109135558975435,2307395002.1127076,362956928.5444321
2025-11-14 01:00:00,0.0036353319008063994,2145394092.239727,311351764.19006324
2025-11-15 01:00:00,0.0034925631614171563,2067626440.428193,274162132.849849
2025-11-16 01:00:00,0.00359307769393767,2118683562.3898234,118175530.44056576
2025-11-17 01:00:00,0.003428862814703303,2023521918.0140774,192623356.80218783
2025-11-18 01:00:00,0.002879848327554575,1695600256.2870293,266039587.75348037
2025-11-19 01:00:00,0.003132784028182436,1848342576.6276371,267352670.17891887
2025-11-20 01:00:00,0.0031840474292947674,1871464731.3149998,199864956.53535792
2025-11-21 01:00:00,0.0029476807687956975,1747377680.2035713,220855799.87238938
2025-11-21 17:47:04,0.0027974378746309777,1654059808.8414485,271164960.8771018
